

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 1; fitness: -10000.102854071487; player life: 0; enemy life: 100; time: 305

RUN: run status: enemy: 1; fitness: -10000.094954654225; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 1; fitness: -10000.04608563384; player life: 0; enemy life: 100; time: 583

RUN: run status: enemy: 1; fitness: -10000.091061100298; player life: 0; enemy life: 100; time: 191

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -9990.06786703601; player life: 0; enemy life: 90.0; time: 190

RUN: run status: enemy: 1; fitness: -10000.100202698552; player life: 0; enemy life: 100; time: 221

RUN: run status: enemy: 1; fitness: -10000.072404956942; player life: 0; enemy life: 100; time: 345

RUN: run status: enemy: 1; fitness: -10000.096099838012; player life: 0; enemy life: 100; time: 323

RUN: run status: enemy: 1; fitness: -10000.06786703601; player life: 0; enemy life: 100; time: 190

RUN: run status: enemy: 1; fitness: -10000.088151927437; player life: 0; enemy life: 100; time: 336

RUN: run status: enemy: 1; fitness: -10000.098802825676; player life: 0; enemy life: 100; time: 323

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -10000.06786703601; player life: 0; enemy life: 100; time: 190

RUN: run status: enemy: 1; fitness: -10000.074784042; player life: 0; enemy life: 100; time: 181

RUN: run status: enemy: 1; fitness: -9940.098251385041; player life: 0; enemy life: 40.0; time: 304

RUN: run status: enemy: 1; fitness: -9970.14585813239; player life: 0; enemy life: 70.0; time: 297

RUN: run status: enemy: 1; fitness: -10000.065097247316; player life: 0; enemy life: 100; time: 194

RUN: run status: enemy: 1; fitness: -10000.091781485606; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -9970.087921663453; player life: 0; enemy life: 70.0; time: 303

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -10000.110031202563; player life: 0; enemy life: 100; time: 308

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -9990.069743589744; player life: 0; enemy life: 90.0; time: 195

RUN: run status: enemy: 1; fitness: -9970.103379640499; player life: 0; enemy life: 70.0; time: 313

RUN: run status: enemy: 1; fitness: -10000.076165516677; player life: 0; enemy life: 100; time: 221

RUN: run status: enemy: 1; fitness: -10000.141640796202; player life: 0; enemy life: 100; time: 296

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -10000.06786703601; player life: 0; enemy life: 100; time: 190

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -10000.0644312952; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 1; fitness: -10000.10376592809; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 1; fitness: -9980.10090309647; player life: 0; enemy life: 80.0; time: 319

RUN: run status: enemy: 1; fitness: -9990.134165802747; player life: 0; enemy life: 90.0; time: 293

